Job Title,Min Salary,Max Salary,Location,Description
Senior Software Engineer - CIAM,43583.96,43583.96,"['UK', 'East Midlands', 'Northamptonshire', 'Northampton', 'Hardingstone']","Join us as a Senior Software Engineer for CIAM at Barclays, where you will bring to life a new digital platform capability, transforming and modernising our digital estate to build a market-leading digital offering with customer experience at its heart. This is an exciting and key role, partnering with business aligned engineering and product teams, to ensure a collaborative team culture is at the heart of what we do. To be successful in this role you should have: Strong hands-on IAM engineer b…"
Senior Software Engineer - CIAM,44532.3,44532.3,"['UK', 'North West England', 'Cheshire', 'Chester', 'Handbridge']","Join us as a Senior Software Engineer for CIAM at Barclays, where you will bring to life a new digital platform capability, transforming and modernising our digital estate to build a market-leading digital offering with customer experience at its heart. This is an exciting and key role, partnering with business aligned engineering and product teams, to ensure a collaborative team culture is at the heart of what we do. To be successful in this role you should have: Strong hands-on IAM engineer b…"
Software Engineer,60000.0,60000.0,"['UK', 'North West England', 'Greater Manchester', 'Manchester', 'Ardwick']","Position: Software Engineer Salary: Up to £60,000 Office Location: Manchester City Centre The Role: An exciting position has now been created for a Software Engineer to join one of the UK's leading design consultancies in their central Manchester based offices. The successful Software Engineer will be joining a growing team and be given the chance to contribute across a range of cutting-edge software solutions in the IoT, Automotive, Medical, Green Energy and industrial automation sectors. Skil…"
Software Engineer,60000.0,60000.0,"['UK', 'North West England', 'Greater Manchester', 'Manchester', 'Manchester Science Park']","Position: Software Engineer Salary: Up to £60,000 Office Location: Manchester City Centre The Role: An exciting position has now been created for a Software Engineer to join one of the UK's leading design consultancies in their central Manchester based offices. The successful Software Engineer will be joining a growing team and be given the chance to contribute across a range of cutting-edge software solutions in the IoT, Automotive, Medical, Green Energy and industrial automation sectors. Skil…"
Software Engineer,55000.0,55000.0,"['UK', 'South East England', 'Berkshire', 'Wokingham']","Software Engineer required for a pharmaceutical systems company based in Wokingham. The ideal candidate will be based locally and have experience in a similar role. The successful candidate will be in a team of software professionals responsible for the requirements, design, construction, integration, testing verification and maintenance of software products. Software Engineer Job Overview Development of Windows software in Visual Studio C++ and C# Utilise software engineering tools such as sou…"
Software Engineer,60000.0,60000.0,"['UK', 'East Midlands', 'Nottinghamshire', 'Nottingham']","Job Opportunity: Software Engineer Medical Technology Position Summary An exciting opportunity for a Software Engineer to contribute to the development of innovative software solutions within a growing medical technology environment. This role involves the specification, design, development, and testing of PC-based software systems. Projects will span both research-focused prototypes and production software supporting a laparoscopic visualisation platform. Key Responsibilities Collaborate withi…"
Software Engineer,46647.56,46647.56,"['UK', 'North West England', 'Cheshire', 'Chester', 'Shotwick']","Do you want to work for a company that goes the extra mile for its customers, colleagues and communities? Are you resilient, efficient, and productive? Can you lead by example? If so, then why not join our family. At Iceland, we value, recognize, and celebrate all colleagues for their good work. We pride ourselves on being team players who can work collaboratively with others. We offer some great opportunities for career progression and development, alongside a competitive salary and a great be…"
Software Engineer,60000.0,60000.0,"['UK', 'North East England', 'Tyne & Wear', 'Newcastle Upon Tyne']","Software Engineer Newcastle upon Tyne, Tyne & Wear Competitive remuneration package offered. Salary negotiable and dependent on experience. An opportunity to join an exciting organisation as a Software Engineer. The Research and Development function is a multi-disciplined team that sits within the wider Engineering function. The teams primary responsibility is to track the latest technology and engineering advancements and create novel solutions to previously unsolved complex problems faced by …"
Software Engineer,70000.0,70000.0,"['UK', 'East Midlands', 'Leicestershire', 'Hinckley']",Join a pioneering startup using cutting-edge data technology to drive real-world impact on climate and infrastructure - where your code helps power the path to net zero. Indeximate is a rapidly growing VC backed startup focussed on reducing the barriers to net zero using the fantastic wealth of data that can be obtained using fibre optic sensing. We are permanently instrumenting subsea power cables that provide us with our vital electricity supplies and are using this data to reduce the risks o…
Software Engineer,37775.66,37775.66,"['UK', 'North West England', 'Greater Manchester', 'Manchester', 'Abbey Hey']",We are currently looking for a Software Engineer to join our team and help us deliver quality software solutions that are fit for use and purpose. This role is hybrid and will be based in our Manchester city centre office . But there's more to this than just the 'day job'. Tunstall is embarking upon a significant technical and business transformation programme that is focusing on changing the way in which we host and deliver our market leading solutions. A bit about us: Tunstall is a market-lea…
